,fs_results
alpha9t-9,False
alpha9t-8,False
alpha9t-7,False
alpha9t-6,False
alpha9t-5,False
alpha9t-4,False
alpha9t-3,True
alpha9t-20,False
alpha9t-2,False
alpha9t-19,False
alpha9t-18,False
alpha9t-17,False
alpha9t-16,False
alpha9t-15,False
alpha9t-14,False
alpha9t-13,False
alpha9t-12,False
alpha9t-11,True
alpha9t-10,True
alpha9t-1,False
alpha9t,False
alpha98t-9,False
alpha98t-8,False
alpha98t-7,False
alpha98t-6,False
alpha98t-5,False
alpha98t-4,True
alpha98t-3,True
alpha98t-20,False
alpha98t-2,False
alpha98t-19,False
alpha98t-18,False
alpha98t-17,False
alpha98t-16,False
alpha98t-15,False
alpha98t-14,False
alpha98t-13,False
alpha98t-12,False
alpha98t-11,False
alpha98t-10,False
alpha98t-1,False
alpha98t,True
alpha97t-9,False
alpha97t-8,False
alpha97t-7,False
alpha97t-6,False
alpha97t-5,False
alpha97t-4,False
alpha97t-3,True
alpha97t-20,True
alpha97t-2,False
alpha97t-19,True
alpha97t-18,True
alpha97t-17,True
alpha97t-16,False
alpha97t-15,False
alpha97t-14,False
alpha97t-13,False
alpha97t-12,False
alpha97t-11,False
alpha97t-10,False
alpha97t-1,False
alpha97t,True
alpha96t-9,False
alpha96t-8,False
alpha96t-7,False
alpha96t-6,False
alpha96t-5,False
alpha96t-4,False
alpha96t-3,False
alpha96t-20,False
alpha96t-2,False
alpha96t-19,False
alpha96t-18,False
alpha96t-17,False
alpha96t-16,True
alpha96t-15,False
alpha96t-14,False
alpha96t-13,False
alpha96t-12,False
alpha96t-11,False
alpha96t-10,False
alpha96t-1,False
alpha96t,False
alpha95t-9,False
alpha95t-8,True
alpha95t-7,False
alpha95t-6,False
alpha95t-5,False
alpha95t-4,False
alpha95t-3,False
alpha95t-20,False
alpha95t-2,False
alpha95t-19,True
alpha95t-18,False
alpha95t-17,False
alpha95t-16,False
alpha95t-15,False
alpha95t-14,False
alpha95t-13,False
alpha95t-12,False
alpha95t-11,False
alpha95t-10,False
alpha95t-1,False
alpha95t,False
alpha94t-9,False
alpha94t-8,False
alpha94t-7,False
alpha94t-6,False
alpha94t-5,False
alpha94t-4,False
alpha94t-3,False
alpha94t-20,False
alpha94t-2,False
alpha94t-19,False
alpha94t-18,False
alpha94t-17,False
alpha94t-16,False
alpha94t-15,False
alpha94t-14,False
alpha94t-13,False
alpha94t-12,False
alpha94t-11,False
alpha94t-10,False
alpha94t-1,False
alpha94t,False
alpha93t-9,False
alpha93t-8,False
alpha93t-7,False
alpha93t-6,False
alpha93t-5,False
alpha93t-4,False
alpha93t-3,False
alpha93t-20,False
alpha93t-2,False
alpha93t-19,False
alpha93t-18,False
alpha93t-17,False
alpha93t-16,False
alpha93t-15,False
alpha93t-14,False
alpha93t-13,False
alpha93t-12,False
alpha93t-11,False
alpha93t-10,False
alpha93t-1,False
alpha93t,False
alpha89t-9,False
alpha89t-8,False
alpha89t-7,False
alpha89t-6,False
alpha89t-5,False
alpha89t-4,False
alpha89t-3,False
alpha89t-20,False
alpha89t-2,False
alpha89t-19,False
alpha89t-18,False
alpha89t-17,False
alpha89t-16,False
alpha89t-15,False
alpha89t-14,False
alpha89t-13,False
alpha89t-12,False
alpha89t-11,False
alpha89t-10,False
alpha89t-1,True
alpha89t,False
alpha87t-9,False
alpha87t-8,False
alpha87t-7,False
alpha87t-6,False
alpha87t-5,False
alpha87t-4,False
alpha87t-3,False
alpha87t-20,False
alpha87t-2,False
alpha87t-19,False
alpha87t-18,False
alpha87t-17,False
alpha87t-16,False
alpha87t-15,False
alpha87t-14,False
alpha87t-13,False
alpha87t-12,False
alpha87t-11,False
alpha87t-10,False
alpha87t-1,False
alpha87t,True
alpha86t-9,False
alpha86t-8,False
alpha86t-7,False
alpha86t-6,False
alpha86t-5,False
alpha86t-4,False
alpha86t-3,False
alpha86t-20,False
alpha86t-2,False
alpha86t-19,False
alpha86t-18,False
alpha86t-17,False
alpha86t-16,False
alpha86t-15,False
alpha86t-14,False
alpha86t-13,False
alpha86t-12,False
alpha86t-11,False
alpha86t-10,False
alpha86t-1,False
alpha86t,False
alpha85t-9,True
alpha85t-8,False
alpha85t-7,False
alpha85t-6,False
alpha85t-5,False
alpha85t-4,False
alpha85t-3,False
alpha85t-20,False
alpha85t-2,True
alpha85t-19,False
alpha85t-18,False
alpha85t-17,False
alpha85t-16,False
alpha85t-15,False
alpha85t-14,False
alpha85t-13,False
alpha85t-12,False
alpha85t-11,False
alpha85t-10,False
alpha85t-1,False
alpha85t,False
alpha84t-9,False
alpha84t-8,False
alpha84t-7,False
alpha84t-6,False
alpha84t-5,False
alpha84t-4,False
alpha84t-3,False
alpha84t-20,False
alpha84t-2,False
alpha84t-19,True
alpha84t-18,False
alpha84t-17,False
alpha84t-16,False
alpha84t-15,False
alpha84t-14,False
alpha84t-13,False
alpha84t-12,False
alpha84t-11,False
alpha84t-10,False
alpha84t-1,False
alpha84t,False
alpha83t-9,False
alpha83t-8,False
alpha83t-7,False
alpha83t-6,False
alpha83t-5,False
alpha83t-4,False
alpha83t-3,False
alpha83t-20,False
alpha83t-2,False
alpha83t-19,False
alpha83t-18,True
alpha83t-17,False
alpha83t-16,False
alpha83t-15,False
alpha83t-14,False
alpha83t-13,False
alpha83t-12,False
alpha83t-11,True
alpha83t-10,False
alpha83t-1,False
alpha83t,False
alpha82t-9,False
alpha82t-8,False
alpha82t-7,False
alpha82t-6,False
alpha82t-5,False
alpha82t-4,False
alpha82t-3,True
alpha82t-20,False
alpha82t-2,True
alpha82t-19,False
alpha82t-18,False
alpha82t-17,False
alpha82t-16,False
alpha82t-15,False
alpha82t-14,False
alpha82t-13,False
alpha82t-12,False
alpha82t-11,False
alpha82t-10,False
alpha82t-1,False
alpha82t,False
alpha81t-9,False
alpha81t-8,False
alpha81t-7,False
alpha81t-6,False
alpha81t-5,False
alpha81t-4,False
alpha81t-3,False
alpha81t-20,True
alpha81t-2,False
alpha81t-19,True
alpha81t-18,False
alpha81t-17,False
alpha81t-16,False
alpha81t-15,False
alpha81t-14,True
alpha81t-13,False
alpha81t-12,False
alpha81t-11,False
alpha81t-10,False
alpha81t-1,False
alpha81t,True
alpha80t-9,False
alpha80t-8,False
alpha80t-7,False
alpha80t-6,False
alpha80t-5,False
alpha80t-4,False
alpha80t-3,False
alpha80t-20,False
alpha80t-2,False
alpha80t-19,False
alpha80t-18,False
alpha80t-17,False
alpha80t-16,False
alpha80t-15,False
alpha80t-14,False
alpha80t-13,False
alpha80t-12,False
alpha80t-11,False
alpha80t-10,False
alpha80t-1,False
alpha80t,False
alpha79t-9,False
alpha79t-8,False
alpha79t-7,False
alpha79t-6,False
alpha79t-5,False
alpha79t-4,False
alpha79t-3,False
alpha79t-20,False
alpha79t-2,False
alpha79t-19,False
alpha79t-18,False
alpha79t-17,False
alpha79t-16,False
alpha79t-15,False
alpha79t-14,False
alpha79t-13,False
alpha79t-12,False
alpha79t-11,False
alpha79t-10,False
alpha79t-1,False
alpha79t,False
alpha78t-9,False
alpha78t-8,False
alpha78t-7,False
alpha78t-6,False
alpha78t-5,False
alpha78t-4,False
alpha78t-3,True
alpha78t-20,False
alpha78t-2,False
alpha78t-19,False
alpha78t-18,False
alpha78t-17,False
alpha78t-16,False
alpha78t-15,False
alpha78t-14,False
alpha78t-13,False
alpha78t-12,False
alpha78t-11,False
alpha78t-10,False
alpha78t-1,False
alpha78t,False
alpha76t-9,False
alpha76t-8,False
alpha76t-7,False
alpha76t-6,False
alpha76t-5,False
alpha76t-4,False
alpha76t-3,True
alpha76t-20,False
alpha76t-2,False
alpha76t-19,False
