Date,open,high,low,close,volume,turn,avg_price,pre_close,amount
2009/1/5,1848.326,1882.959,1837.839,1882.959,4818702000,1.1583,8.138514644,1817.722,39217076790
2009/1/6,1880.672,1948.489,1873.011,1942.795,7097409700,1.7017,8.349830866,1882.959,59262170581
2009/1/7,1942.671,1959.246,1930.868,1931.178,5970216700,1.4314,8.398927674,1942.795,50143418262
2009/1/8,1894.664,1902.796,1873.648,1887.991,5344649000,1.2814,8.833283981,1931.178,47210802398
2009/1/9,1886.488,1923.423,1886.488,1918.365,4740721600,1.1363,8.756306517,1887.991,41511211439
2009/1/12,1911.736,1947.083,1905.617,1920.687,5423415600,1.2988,8.662712979,1918.365,46981492708
2009/1/13,1892.655,1908.196,1874.974,1876.185,4981813700,1.193,8.06964433,1920.687,40201464676
2009/1/14,1873.626,1955.244,1873.626,1955.244,5928323100,1.4197,8.882612165,1876.185,52658994886
2009/1/15,1935.386,1977.191,1930.295,1954.874,7894364800,1.8894,8.50540536,1955.244,67144772684
2009/1/16,1965.44,2026.647,1965.44,1990.214,9653863300,2.3105,8.775517742,1954.874,84717648664
2009/1/19,2010.579,2052.19,1993.95,2012.465,8194817700,1.9613,8.515812414,1990.214,69785530299
2009/1/20,2006.525,2025.19,1986.061,2025.19,5325926200,1.2747,8.569425481,2012.465,45640127686
2009/1/21,1993.67,2047.105,1988.241,2021.71,6411742800,1.5334,9.344447204,2025.19,59914192082
2009/1/22,2034.286,2048.484,2012.738,2044.551,5886194700,1.4077,9.078722291,2021.71,53439127032
2009/1/23,2039.522,2054.326,2025.188,2032.682,5750410900,1.3751,8.675524077,2044.551,49887828217
2009/2/2,2052.439,2059.338,2029.717,2057.063,5145390600,1.2263,8.964634627,2032.682,46126546742
2009/2/3,2056.795,2108.944,2049.889,2108.91,8764030200,2.0887,8.620930796,2057.063,75554097848
2009/2/4,2118.563,2166.414,2117.024,2166.414,10088842800,2.4044,8.642434138,2108.91,87192159423
2009/2/5,2164.546,2211.179,2135.67,2150.971,11510012200,2.7431,8.83686676,2166.414,1.01712E+11
2009/2/6,2158.084,2240.021,2158.084,2237.28,10666490400,2.5421,8.966404082,2150.971,95640063068
2009/2/9,2271.593,2307.907,2257.49,2296.672,12952367000,3.082,9.255975443,2237.28,1.19887E+11
2009/2/10,2288.071,2327.1,2263.532,2326.755,11629454800,2.7656,9.277442735,2296.672,1.07892E+11
2009/2/11,2287.232,2381.193,2275.574,2331.138,14757663700,3.5095,9.797492198,2326.755,1.44588E+11
2009/2/12,2335.401,2344.659,2248.484,2318.343,11982621800,2.8452,9.684877129,2331.138,1.1605E+11
2009/2/13,2321.56,2402.436,2307.09,2399.065,14040991000,3.3339,9.577036237,2318.343,1.34471E+11
2009/2/16,2421.187,2462.389,2397.181,2462.245,15234666900,3.6138,9.674013869,2399.065,1.4738E+11
2009/2/17,2460.569,2470.623,2384.787,2385.293,14101499100,3.345,9.784158912,2462.245,1.37971E+11
2009/2/18,2331.662,2369.053,2272.505,2275.843,11542206200,2.7379,9.742996765,2385.293,1.12456E+11
