,features_importance
volume,-0.00012212255048710296
turn,0.00014339975592581823
pre_close,-0.000391590374289126
open,-0.0013603322488980776
low,-0.0007501451838781334
high,-0.0006179666737210006
avg_price,-0.0006573684523803835
amount,0.0012383620121443238
alpha9t-9,0.0005453246502124496
alpha9t-8,8.539156863920375e-05
alpha9t-7,0.0004735139039791551
alpha9t-6,0.0008704283014918729
alpha9t-5,-0.0009704591576773308
alpha9t-4,-0.00010851755476070568
alpha9t-3,0.00030491053193151043
alpha9t-20,-4.127604911660588e-05
alpha9t-2,0.00011214857514065332
alpha9t-19,-0.0002532185055359658
alpha9t-18,0.001087918127784167
alpha9t-17,-0.001199929931220456
alpha9t-16,0.000777863655999377
alpha9t-15,0.000760533021805436
alpha9t-14,0.00021357560414162125
alpha9t-13,2.1687734320221523e-05
alpha9t-12,-0.0007599339462136117
alpha9t-11,0.0006134897329227707
alpha9t-10,-0.0016741470317507615
alpha9t-1,0.0004997731557009104
alpha9t,0.0004997813038129317
alpha98t-9,-0.0007832310262480574
alpha98t-8,0.00013778923451480542
alpha98t-7,0.0005374680989600637
alpha98t-6,-0.00016268786050504914
alpha98t-5,-0.00039483408701317547
alpha98t-4,0.00047418546142723845
alpha98t-3,-0.0011451634415472498
alpha98t-20,0.00015837783439083666
alpha98t-2,0.0013765596585156897
alpha98t-19,0.00020777421872007868
alpha98t-18,-0.0006705618975993001
alpha98t-17,0.0003639432246379557
alpha98t-16,-7.846151866971851e-05
alpha98t-15,0.0007242797151314634
alpha98t-14,0.0007879834890510984
alpha98t-13,-0.00013971504599317476
alpha98t-12,-0.00031839971995784077
alpha98t-11,-0.0013417062090703977
alpha98t-10,0.001656274612884212
alpha98t-1,1.3392467436462038e-05
alpha98t,1.339293023034208e-05
alpha97t-9,-2.79469864992592e-05
alpha97t-8,0.00108458964415915
alpha97t-7,-0.0002024312507488462
alpha97t-6,-0.0007054175016412945
alpha97t-5,-0.00015263733838844732
alpha97t-4,-5.574854989079748e-05
alpha97t-3,0.000689807878421035
alpha97t-20,0.0007848927130517902
alpha97t-2,-0.0008694531546640743
alpha97t-19,-0.00016633092961633222
alpha97t-18,0.00026936812327533474
alpha97t-17,-0.001335885452554349
alpha97t-16,0.0012663000606329667
alpha97t-15,0.0005177732822404466
alpha97t-14,0.0006037392056905591
alpha97t-13,0.00019639607093213123
alpha97t-12,0.00038642839729709905
alpha97t-11,-0.0016405920306537985
alpha97t-10,0.0005029641488743742
alpha97t-1,-0.0004532507946584721
alpha97t,-0.0004532505016152314
alpha96t-9,0.0014097539871725606
alpha96t-8,-0.00040000886749707454
alpha96t-7,-0.00013223002788816153
alpha96t-6,0.00026119784866127994
alpha96t-5,-0.00041798853733076354
alpha96t-4,-0.00023852206170002884
alpha96t-3,0.0008525011733405085
alpha96t-20,-0.0004446869046282317
alpha96t-2,-0.0011492213541046605
alpha96t-19,0.0003404617099963011
alpha96t-18,-0.0014930005356614204
alpha96t-17,0.000851089894794233
alpha96t-16,-0.0010952110693268093
alpha96t-15,-0.001053585966858372
alpha96t-14,0.0014165017320970023
alpha96t-13,0.0011820168535122773
alpha96t-12,-0.0007859053111050869
alpha96t-11,-0.0006869485300381563
alpha96t-10,0.0009231328577554901
alpha96t-1,0.0008073338629530698
alpha96t,0.0008073338422306439
alpha95t-9,0.0006724770961711186
alpha95t-8,-0.0009021990319853885
alpha95t-7,0.0007128215672060366
alpha95t-6,0.00025853956342525964
alpha95t-5,0.0003203824557314466
alpha95t-4,0.000640796124758844
alpha95t-3,-0.00015898836298709694
alpha95t-20,0.00021168801083831099
alpha95t-2,-9.322274068836529e-05
alpha95t-19,0.00019813273814985247
alpha95t-18,0.0008957512320975772
alpha95t-17,0.0003379802696659277
alpha95t-16,-0.0006101232447116101
alpha95t-15,-0.00022047594297490238
alpha95t-14,-0.0005127531040379591
alpha95t-13,0.001255056338703947
alpha95t-12,-0.00027610265490406394
alpha95t-11,-0.0015071657615636348
alpha95t-10,-1.2494356601659337e-05
alpha95t-1,0.00043917934863103066
alpha95t,0.00043918061396552193
alpha94t-9,0.0003847422742977267
alpha94t-8,0.0003431438200136822
alpha94t-7,-0.0007935463402136181
alpha94t-6,-0.0010392179273080015
alpha94t-5,0.00013763813346256892
alpha94t-4,-0.002371465179309422
alpha94t-3,-0.00015288800908456706
alpha94t-20,-0.00042537509898721244
alpha94t-2,6.477695093241674e-05
alpha94t-19,0.00021640320971787902
alpha94t-18,0.0004324163230210451
alpha94t-17,0.0005146641758277181
alpha94t-16,-0.0008299973017150639
alpha94t-15,-0.00040598031986072413
alpha94t-14,0.0017211773907193143
alpha94t-13,-0.0009307395538432721
alpha94t-12,0.002726220487263078
alpha94t-11,-0.001853560228387927
alpha94t-10,-0.00017993804917438964
alpha94t-1,-0.00025735159066673315
alpha94t,-0.0002573531385570946
alpha93t-9,0.0004935087693474004
alpha93t-8,0.0008722926599610086
alpha93t-7,-0.0010864189218143686
alpha93t-6,3.862940271780809e-05
alpha93t-5,0.0002014180583475013
alpha93t-4,7.494401184547978e-05
alpha93t-3,-4.641111081392055e-05
alpha93t-20,0.00024225382535006826
alpha93t-2,-0.0009682642105660075
alpha93t-19,0.0003538168314111391
alpha93t-18,-0.0019466172980725474
alpha93t-17,0.0005929582441302791
alpha93t-16,-0.0006476210447198512
alpha93t-15,-9.453388404655495e-05
alpha93t-14,0.0003519342185939974
alpha93t-13,3.674776825178673e-05
alpha93t-12,0.0003437923261123816
alpha93t-11,0.0004588345715409501
alpha93t-10,-0.0011750142027433003
alpha93t-1,-5.3536967615652605e-05
alpha93t,-5.35348621078784e-05
alpha89t-9,-0.0007791134705706568
alpha89t-8,-0.001492368483397761
alpha89t-7,0.0003894670727666351
alpha89t-6,-0.0017447868781902836
alpha89t-5,3.0178075261021944e-05
alpha89t-4,-0.00124107097117257
alpha89t-3,-0.0003830404454515169
alpha89t-20,0.0006506427613574418
alpha89t-2,0.0026363740303889083
alpha89t-19,-0.00030788306801532553
alpha89t-18,0.0005328542448849141
alpha89t-17,0.0008856906167461842
alpha89t-16,-2.3203570160857554e-05
alpha89t-15,-0.0010290704124000223
alpha89t-14,0.0006197924357838741
alpha89t-13,0.00136899000109191
alpha89t-12,-0.0011852179092455759
alpha89t-11,-0.0006367925242914917
alpha89t-10,-0.0007503556940370644
alpha89t-1,-3.7529809075870726e-05
alpha89t,-3.752907153940241e-05
alpha87t-9,0.0001308775839818659
alpha87t-8,6.878788991372575e-05
alpha87t-7,8.088198575522234e-05
alpha87t-6,7.636643345628865e-05
alpha87t-5,0.00012164127443469437
alpha87t-4,0.00012915409380639828
alpha87t-3,4.170562668463883e-05
alpha87t-20,-4.95791709584885e-05
alpha87t-2,9.142788931479313e-05
alpha87t-19,-1.3791636073955572e-05
alpha87t-18,-9.040317567297043e-05
alpha87t-17,-6.18526459347759e-05
alpha87t-16,6.7361954394393425e-06
alpha87t-15,1.7074421667286218e-06
alpha87t-14,-3.4093110882018736e-05
alpha87t-13,-6.6482918344216e-06
alpha87t-12,7.613648453226661e-05
alpha87t-11,5.0244128835859585e-05
alpha87t-10,1.21608181000869e-05
alpha87t-1,5.53090388990708e-05
alpha87t,5.530799545357489e-05
alpha86t-9,-0.00011325859406203845
alpha86t-8,9.52003898441156e-05
alpha86t-7,0.00017403460788110276
alpha86t-6,-0.00019778621410513462
alpha86t-5,0.00025871093121365035
