,features_importance
volume,1.9075675640477643e-05
turn,4.3593414955169896e-05
pre_close,-0.0003588596660997914
open,-0.0006440568975939255
low,-0.00038381980201807433
high,-0.00044736297693661107
avg_price,-0.0005027998626092547
amount,0.0005879759664249848
alpha9t-9,1.0298969138960755e-06
alpha9t-8,0.00015595812953467757
alpha9t-7,0.00044363337636175353
alpha9t-6,0.0005724372542420727
alpha9t-5,-0.0007626261012832906
alpha9t-4,-5.367677066356627e-05
alpha9t-3,9.014001894751063e-05
alpha9t-20,0.0001598492241676366
alpha9t-2,0.0002405410291693542
alpha9t-19,-7.53093778687863e-05
alpha9t-18,0.0006618241328901055
alpha9t-17,-0.0006667203280383142
alpha9t-16,0.00036156757189363404
alpha9t-15,0.0002280521274508497
alpha9t-14,-4.10647695144624e-05
alpha9t-13,0.00016569981394708676
alpha9t-12,-0.00047626916789281616
alpha9t-11,0.00028792156915888247
alpha9t-10,-0.0008336366903194944
alpha9t-1,0.00025560293220296717
alpha9t,0.00025560293220296717
alpha98t-9,0.00012629169436678458
alpha98t-8,0.00041023774689802664
alpha98t-7,0.00023187337642092403
alpha98t-6,0.0003570298566002839
alpha98t-5,-0.00043890275699817543
alpha98t-4,-0.00010489251633950716
alpha98t-3,-0.00027553899937131387
alpha98t-20,0.000513279948484999
alpha98t-2,0.0011389834336448025
alpha98t-19,0.00019672864340783636
alpha98t-18,-0.00040854538823198515
alpha98t-17,0.0007350457334167976
alpha98t-16,-0.00021432121902225417
alpha98t-15,0.00047085498911848453
alpha98t-14,3.105008160268777e-05
alpha98t-13,5.174055913703878e-05
alpha98t-12,0.0001233782669759077
alpha98t-11,-0.0008179465644212201
alpha98t-10,0.0006195256833660073
alpha98t-1,0.0002620430042374974
alpha98t,0.0002620430042374974
alpha97t-9,0.00019102179549649773
alpha97t-8,0.00047305549307462806
alpha97t-7,7.549701991334238e-05
alpha97t-6,-0.0005930311610886096
alpha97t-5,-0.0001457465053675676
alpha97t-4,0.00016792337567274532
alpha97t-3,0.00022023926717065106
alpha97t-20,0.00042511444343209734
alpha97t-2,-0.00023617676015296398
alpha97t-19,-3.993697544815692e-05
alpha97t-18,0.00021966909043476677
alpha97t-17,-0.0008977376464393131
alpha97t-16,0.0005363346673957143
alpha97t-15,0.0003841781649087864
alpha97t-14,0.0004506636985315027
alpha97t-13,-0.0002174085711665575
alpha97t-12,0.00019774016009293233
alpha97t-11,-0.000942511180736961
alpha97t-10,9.071624197722546e-05
alpha97t-1,-0.00044346846098024066
alpha97t,-0.00044346846098024066
alpha96t-9,0.0007349991016169866
alpha96t-8,-5.001160116596559e-05
alpha96t-7,-0.00011489835908894446
alpha96t-6,-8.308282169038734e-06
alpha96t-5,-0.0002872424496755679
alpha96t-4,-0.00026308860678824777
alpha96t-3,0.0003333595743928294
alpha96t-20,0.0001505129185654898
alpha96t-2,-0.00048791217086411963
alpha96t-19,0.00041742104054768355
alpha96t-18,-0.0011237441436053723
alpha96t-17,4.1130167287539975e-05
alpha96t-16,-0.0004971649770031004
alpha96t-15,-0.00017184654011987284
alpha96t-14,0.0005333617880601606
alpha96t-13,0.0006770436729512249
alpha96t-12,-0.00016015410886528958
alpha96t-11,-0.00041849047154428706
alpha96t-10,0.0001775351403283465
alpha96t-1,0.0003075942249294324
alpha96t,0.0003075942249294324
alpha95t-9,3.614238220362279e-05
alpha95t-8,-0.0006486579247728586
alpha95t-7,0.0004636030447632606
alpha95t-6,0.0004358159246628781
alpha95t-5,7.302373912349796e-05
alpha95t-4,0.0006369149828579784
alpha95t-3,-3.73253672258209e-05
alpha95t-20,-0.00013085930281358054
alpha95t-2,-5.592947126411323e-05
alpha95t-19,0.00020632625137493723
alpha95t-18,0.0004955784578552813
alpha95t-17,0.0002620629986768286
alpha95t-16,-0.00015536308811392913
alpha95t-15,-0.00017554830805516783
alpha95t-14,-0.000271041565278191
alpha95t-13,0.000741076053538957
alpha95t-12,-0.00017034062943860988
alpha95t-11,-0.0005485296766924704
alpha95t-10,-2.311176081922338e-05
alpha95t-1,0.0003639518442732513
alpha95t,0.0003639518442732513
alpha94t-9,0.00029275166293921844
alpha94t-8,5.1993992071940604e-05
alpha94t-7,4.451075470279714e-05
alpha94t-6,-0.0005923829190970326
alpha94t-5,6.14896198981565e-05
alpha94t-4,-0.0014325880932042022
alpha94t-3,5.833212247511962e-07
alpha94t-20,0.0001634814243769909
alpha94t-2,-0.00046409090747952605
alpha94t-19,0.0002995121503505491
alpha94t-18,7.669576602982549e-05
alpha94t-17,0.00031679203807574035
alpha94t-16,-0.00045185593987817814
alpha94t-15,-0.00012869790404757028
alpha94t-14,0.0013215245265731882
alpha94t-13,-0.000953245693761158
alpha94t-12,0.0015413618960305056
alpha94t-11,-0.0012901298089617091
alpha94t-10,4.813274007652926e-06
alpha94t-1,0.0001721994528434274
alpha94t,0.0001721994528434274
alpha93t-9,0.0005945804765023179
alpha93t-8,0.0003693100328997791
alpha93t-7,-0.0008338398426146244
alpha93t-6,0.00021213828423131018
alpha93t-5,-2.5710705773363413e-05
alpha93t-4,0.0002726631771385766
alpha93t-3,-4.540935496778245e-05
alpha93t-20,3.970695968277962e-05
alpha93t-2,-0.00038945139837422843
alpha93t-19,0.0001821870821188619
alpha93t-18,-0.0011359476467934333
alpha93t-17,0.0006343326194949993
alpha93t-16,-0.0004073238473259522
alpha93t-15,0.00027215149857610764
alpha93t-14,-6.975369721465937e-05
alpha93t-13,5.909973837152206e-05
alpha93t-12,-5.816568441136226e-06
alpha93t-11,0.00032312529529072607
alpha93t-10,-0.0007201011873463144
alpha93t-1,-0.0001999700502613696
alpha93t,-0.0001999700502613696
alpha89t-9,-0.0006921973616736612
alpha89t-8,-0.0005164408694755824
alpha89t-7,-2.0785311845885877e-05
alpha89t-6,-0.0009396194024353832
alpha89t-5,-0.0006810535485651246
alpha89t-4,-0.0003885852671029525
alpha89t-3,0.0001880842577745827
alpha89t-20,0.00019420118702778767
alpha89t-2,0.0008173062622788943
alpha89t-19,-0.00034785351743554793
alpha89t-18,0.0006521845868388554
alpha89t-17,0.0005236185930443626
alpha89t-16,-9.075731586623082e-05
alpha89t-15,-0.00034842713091118
alpha89t-14,8.323145923754101e-05
alpha89t-13,0.0008449478202649159
alpha89t-12,-0.0005290963916443095
alpha89t-11,-0.0004363748744953749
alpha89t-10,-0.0004566162061970626
alpha89t-1,2.387515659739393e-05
alpha89t,2.387515659739393e-05
alpha87t-9,7.22582419497978e-05
alpha87t-8,3.6589668198052504e-05
alpha87t-7,3.943730760153461e-05
alpha87t-6,4.629718975697498e-05
alpha87t-5,9.397097615122441e-05
alpha87t-4,7.035801583213106e-05
alpha87t-3,2.777014846994374e-06
alpha87t-20,-2.001391222966923e-05
alpha87t-2,7.222626262231715e-05
alpha87t-19,-7.066017043503263e-06
alpha87t-18,-8.028060505289073e-05
alpha87t-17,-5.6590204939711935e-05
alpha87t-16,-1.1377855573820558e-05
alpha87t-15,-7.1803099273525425e-06
alpha87t-14,-1.722109055707428e-05
alpha87t-13,-4.9202975494931286e-08
alpha87t-12,4.927543989292031e-05
alpha87t-11,2.9294221489835446e-05
alpha87t-10,1.200146731426594e-05
alpha87t-1,2.8393542429140278e-05
alpha87t,2.8393542429140278e-05
alpha86t-9,-0.00014697186745695067
alpha86t-8,0.00019726311444810696
alpha86t-7,0.00025719285404741916
alpha86t-6,-0.0001329150978113742
alpha86t-5,0.00021042238945816007
alpha86t-4,-2.9247952684248496e-05
alpha86t-3,-0.0002023298854771779
alpha86t-20,-4.412913919543415e-05
alpha86t-2,-0.00025127264372513296
alpha86t-19,-0.00038175227217851927
alpha86t-18,-0.00020762453455759603
alpha86t-17,-4.900493932300803e-05
alpha86t-16,-0.00013983169946216653
alpha86t-15,-0.0003333499656008313
alpha86t-14,1.7062739149765683e-05
alpha86t-13,-0.00022969571578588545
alpha86t-12,0.00027798827582232457
alpha86t-11,5.538168376816157e-05
alpha86t-10,-0.00036238409147427986
alpha86t-1,-5.84382019648882e-05
alpha86t,-5.84382019648882e-05
alpha85t-9,0.0002518333930233416
alpha85t-8,-8.14060252669161e-05
alpha85t-7,4.002417790105475e-05
alpha85t-6,0.00025156082794268523
alpha85t-5,0.00022150097116700347
alpha85t-4,-8.515944390587448e-05
alpha85t-3,6.604252327982023e-05
alpha85t-20,-0.00012214367567510407
alpha85t-2,-0.00016575138390736082
alpha85t-19,0.00011246036819596581
alpha85t-18,0.0003242871849357127
alpha85t-17,6.653803907805884e-05
alpha85t-16,-0.0001820678740251481
alpha85t-15,-0.00014226390970739628
alpha85t-14,-8.631365083266243e-05
alpha85t-13,-0.00016411181811382228
alpha85t-12,-0.0003323326161523638
alpha85t-11,-0.00019742789826937988
alpha85t-10,-4.834736137377251e-05
alpha85t-1,0.00030091345563230373
alpha85t,0.00030091345563230373
alpha84t-9,-9.83158657765985e-05
alpha84t-8,-0.0009357664094428785
alpha84t-7,0.000545527343011148
alpha84t-6,0.00048583695355512827
alpha84t-5,0.0007447850565072883
alpha84t-4,-0.0002524780280076682
alpha84t-3,0.0006261951689746751
alpha84t-20,0.0007467752868872693
alpha84t-2,0.00033426601063493385
alpha84t-19,0.00022926640925671594
alpha84t-18,-1.2369123922558812e-05
alpha84t-17,-0.0002939592210837071
alpha84t-16,0.0008039582760717628
alpha84t-15,0.0004008599705505142
alpha84t-14,0.0005913897849188578
alpha84t-13,-0.0009314215042345175
alpha84t-12,0.0006989565239234606
alpha84t-11,-3.507853672783144e-05
alpha84t-10,-0.0004992569965961903
alpha84t-1,-0.00020732291422936812
alpha84t,-0.00020732291422936812
alpha83t-9,6.359017151007847e-05
alpha83t-8,-0.00010806692261109351
alpha83t-7,-0.00028899499033993744
alpha83t-6,-5.1313560923762104e-05
alpha83t-5,0.0002794439485058918
alpha83t-4,-0.00026173217276908976
alpha83t-3,-7.937455443297513e-05
alpha83t-20,0.00047191665971522013
alpha83t-2,-0.00020549734131144326
alpha83t-19,-0.00018560116945271797
alpha83t-18,0.00032520880945927517
alpha83t-17,0.00032880104733146724
alpha83t-16,-0.00018478844078092862
alpha83t-15,-0.00046996475825412834
alpha83t-14,-0.00014106507865580787
alpha83t-13,-8.76138644256586e-05
alpha83t-12,-0.000426714898480335
alpha83t-11,0.00033388858968058747
alpha83t-10,0.0002239644039353274
alpha83t-1,2.3840404541318374e-05
alpha83t,2.3840404541318374e-05
alpha82t-9,0.00018513055335155052
alpha82t-8,-0.00011383907450749955
alpha82t-7,-0.00031314942687403984
alpha82t-6,-4.5333351974887713e-05
alpha82t-5,-0.000692902747703185
alpha82t-4,-0.0009137454317617827
alpha82t-3,0.0004630310462302835
alpha82t-20,0.001346208357523472
alpha82t-2,-0.0006924714228834987
alpha82t-19,-0.00010513696666203643
alpha82t-18,-0.0009049116272293478
alpha82t-17,0.0013804630469062538
alpha82t-16,-0.00028204721486758613
alpha82t-15,0.0011676247383250271
alpha82t-14,-0.0011318492147468573
alpha82t-13,-0.0008340386243515007
alpha82t-12,0.00039388443309593184
alpha82t-11,0.00032049895794165477
alpha82t-10,-4.310780862873952e-05
alpha82t-1,0.0004086359882603407
alpha82t,0.0004086359882603407
alpha81t-9,0.00021513292995678114
alpha81t-8,-0.00039362477763507035
alpha81t-7,-0.00034627814114230964
alpha81t-6,0.00021041505354871785
alpha81t-5,1.4495352192616953e-05
alpha81t-4,0.0005310289926166639
alpha81t-3,0.00013711061061300733
alpha81t-20,-4.723231591057447e-05
alpha81t-2,-0.00047925348015759637
alpha81t-19,-0.0003123355403167964
alpha81t-18,0.000666622545648252
alpha81t-17,0.0001175565985312485
alpha81t-16,8.828060939565605e-05
alpha81t-15,0.00030666246607046214
alpha81t-14,-0.0005716345053236386
alpha81t-13,-6.655612884307708e-05
alpha81t-12,-0.0010727888099978872
alpha81t-11,0.0006384310876009175
alpha81t-10,-0.00027128255691034664
alpha81t-1,0.00040781183508823056
alpha81t,0.00040781183508823056
alpha80t-9,-0.0006152507000127552
alpha80t-8,0.0006780815007697837
alpha80t-7,0.00027750935984428415
alpha80t-6,-0.0005345183419742088
alpha80t-5,-0.0005197119433642717
alpha80t-4,0.00038705488082094945
alpha80t-3,3.9346795019676616e-05
alpha80t-20,0.0004013541826951107
alpha80t-2,0.0005673401849041513
alpha80t-19,0.00017289052429707627
alpha80t-18,0.00036049080160530133
alpha80t-17,0.0003152292626092131
alpha80t-16,-6.875796071601911e-05
alpha80t-15,0.00012625778946268485
alpha80t-14,1.1710392267489556e-05
alpha80t-13,-3.421934531799034e-05
alpha80t-12,-3.2446058369243847e-05
alpha80t-11,-0.00036219422590168135
alpha80t-10,0.0005085209839926913
alpha80t-1,0.0005388989313800756
alpha80t,0.0005388989313800756
alpha79t-9,-2.6150169201544416e-05
alpha79t-8,-0.0001749112091579671
alpha79t-7,3.247187849336526e-05
alpha79t-6,0.00021750853843495558
alpha79t-5,0.0001348164625611831
alpha79t-4,-1.1193230734445564e-05
alpha79t-3,0.0002854659340421783
alpha79t-20,-3.4875825591702533e-05
alpha79t-2,-0.0005210130308803948
alpha79t-19,0.00020638719740823252
alpha79t-18,-0.0004508283593116991
alpha79t-17,0.00019992476974009198
alpha79t-16,-0.00011710254572320708
alpha79t-15,-2.2269709206753494e-05
alpha79t-14,0.00023379706420895372
alpha79t-13,-0.00020208250190601156
alpha79t-12,-7.182559654712806e-07
alpha79t-11,5.3460027971341877e-05
alpha79t-10,-5.932462891041297e-05
alpha79t-1,0.00020066103907476223
alpha79t,0.00020066103907476223
alpha78t-9,0.0007577115701382222
alpha78t-8,-5.1844040482062364e-05
alpha78t-7,0.0004125339626552743
alpha78t-6,-0.00013651638348842563
alpha78t-5,-0.0007137937690106542
