,features_importance
volume,0.00021519287371165902
turn,0.000140710772969901
pre_close,-0.0002029474182557068
open,-0.00019993758478011362
low,-0.00011883471585619546
high,-1.5660792234887416e-05
avg_price,-0.0002836440713313124
amount,0.00011004166475344534
alpha9t-9,-0.00014055759754519212
alpha9t-8,8.057174376588181e-05
alpha9t-7,0.00014434951101311078
alpha9t-6,0.00012776121603048321
alpha9t-5,-0.00020534964324643885
alpha9t-4,1.8260523335320478e-05
alpha9t-3,5.9133111198114415e-06
alpha9t-20,5.5687295469652174e-05
alpha9t-2,8.033039548376874e-05
alpha9t-19,5.489767175117526e-05
alpha9t-18,0.0002520953630625423
alpha9t-17,-0.00018271815945435576
alpha9t-16,-1.3719645950555382e-05
alpha9t-15,7.02343615476604e-05
alpha9t-14,-3.533475839923825e-05
alpha9t-13,9.752917419267094e-05
alpha9t-12,-0.00012589712213612807
alpha9t-11,8.890750909280855e-05
alpha9t-10,-0.00018270967003676864
alpha9t-1,6.084595822038636e-05
alpha9t,6.084595822038636e-05
alpha98t-9,7.662131386575513e-05
alpha98t-8,0.0002540170117733991
alpha98t-7,0.0002210067454903929
alpha98t-6,0.0003129917198045315
alpha98t-5,-0.00030279628511521175
alpha98t-4,-0.0002841469157518039
alpha98t-3,0.0004276872414559111
alpha98t-20,0.0002816771189481652
alpha98t-2,0.0008719675479856412
alpha98t-19,-0.00013525455103071695
alpha98t-18,-0.00013530489687258918
alpha98t-17,0.00039844109223535664
alpha98t-16,2.562815861329121e-05
alpha98t-15,4.602004441705246e-05
alpha98t-14,-0.00023596593848075771
alpha98t-13,0.0001369691094478835
alpha98t-12,0.00020053605264954625
alpha98t-11,-0.00024445980508665016
alpha98t-10,-0.0001452488363009145
alpha98t-1,-0.00031695357212104013
alpha98t,-0.00031695357212104013
alpha97t-9,8.576629391850912e-05
alpha97t-8,0.00019487598042297323
alpha97t-7,-0.00016666298077321388
alpha97t-6,-8.999082585651937e-05
alpha97t-5,-3.311664414545777e-06
alpha97t-4,5.9006756329210534e-05
alpha97t-3,7.20047794606086e-05
alpha97t-20,-0.0001377216917002122
alpha97t-2,-4.541598633026468e-05
alpha97t-19,-8.958034562411209e-05
alpha97t-18,2.0889485913387715e-05
alpha97t-17,-9.226728653946258e-05
alpha97t-16,-1.771989219850179e-05
alpha97t-15,7.590608679170917e-05
alpha97t-14,0.0001630585589916291
alpha97t-13,-0.0001561835972543013
alpha97t-12,-9.591810667355775e-05
alpha97t-11,-0.00010837573284064951
alpha97t-10,-2.0703918170199656e-05
alpha97t-1,-0.00010849180135757367
alpha97t,-0.00010849180135757367
alpha96t-9,6.225888830747062e-05
alpha96t-8,4.289547541850931e-06
alpha96t-7,-2.150914380690425e-05
alpha96t-6,-9.438671765511341e-06
alpha96t-5,-8.072970338488563e-05
alpha96t-4,-2.419504422532915e-05
alpha96t-3,2.5377693076585636e-05
alpha96t-20,5.663735314644108e-05
alpha96t-2,5.504983792073133e-05
alpha96t-19,0.00016277646449004067
alpha96t-18,-8.07165040942996e-05
alpha96t-17,-0.00017990051802685485
alpha96t-16,-7.204322055807331e-05
alpha96t-15,-1.8027910357872414e-05
alpha96t-14,1.7287865359182517e-05
alpha96t-13,0.00012537746176374131
alpha96t-12,2.6698038967977493e-05
alpha96t-11,-1.1550891462582474e-05
alpha96t-10,-4.8030558817924144e-05
alpha96t-1,4.0929545305096285e-05
alpha96t,4.0929545305096285e-05
alpha95t-9,-0.00012497840501878417
alpha95t-8,-5.549577825727934e-05
alpha95t-7,7.265941479592535e-06
alpha95t-6,-1.1932949376106897e-05
alpha95t-5,2.706278460557572e-05
alpha95t-4,0.00014718344153729786
alpha95t-3,6.500721824816277e-05
alpha95t-20,6.664275151111007e-05
alpha95t-2,-9.484603825702525e-05
alpha95t-19,3.392970435210689e-05
alpha95t-18,2.247540509725837e-05
alpha95t-17,-5.110911168972683e-05
alpha95t-16,2.3456003190900113e-05
alpha95t-15,-3.593426305202195e-05
alpha95t-14,3.442767772570077e-05
alpha95t-13,3.953600306932891e-05
alpha95t-12,-5.961682745342703e-05
alpha95t-11,2.609677372671247e-05
alpha95t-10,7.938061436489941e-05
alpha95t-1,8.183677340359378e-05
alpha95t,8.183677340359378e-05
alpha94t-9,-3.0403025516939554e-06
alpha94t-8,9.921782581586135e-05
alpha94t-7,2.420301159065534e-05
alpha94t-6,1.4999092219619985e-05
alpha94t-5,-0.00018670612920685748
alpha94t-4,-0.0004992913866265411
alpha94t-3,-0.0001050887242477845
alpha94t-20,0.00019409185073262827
alpha94t-2,-0.0002908743029137472
alpha94t-19,0.00017208319872538067
alpha94t-18,7.168244828636869e-05
alpha94t-17,5.588905942835573e-05
alpha94t-16,-0.0002493219592486083
alpha94t-15,9.788463164082863e-05
alpha94t-14,0.00028879729005324356
alpha94t-13,-0.00020491861666133645
alpha94t-12,0.00019730434589330264
alpha94t-11,-0.00030962211017776964
alpha94t-10,6.784571759098374e-05
alpha94t-1,0.0002711785075972073
alpha94t,0.0002711785075972073
alpha93t-9,5.4567832360645735e-05
alpha93t-8,-3.499347898052493e-05
alpha93t-7,-0.0002723607291749371
alpha93t-6,8.823343142886028e-05
alpha93t-5,6.246494496992406e-05
alpha93t-4,0.00011520076595772334
alpha93t-3,-1.0864582991336382e-06
alpha93t-20,4.0048137929147426e-05
alpha93t-2,0.00011382713024216758
alpha93t-19,-0.00010151586723507159
alpha93t-18,-0.00025113402070532946
alpha93t-17,0.0001801334777775507
alpha93t-16,-4.1792685630437166e-05
alpha93t-15,8.254683754320153e-05
alpha93t-14,2.1824939464277246e-05
alpha93t-13,0.00013932711311122415
alpha93t-12,6.278972515685467e-05
alpha93t-11,1.0284240551428764e-05
alpha93t-10,-0.00014889613077062315
alpha93t-1,-0.0001387560576829659
alpha93t,-0.0001387560576829659
alpha89t-9,-0.000110528583206565
alpha89t-8,-9.312243552751803e-05
alpha89t-7,-2.0523801044346137e-05
alpha89t-6,-9.905595578406384e-05
alpha89t-5,-0.00044124445935046243
alpha89t-4,1.2976565033918951e-05
alpha89t-3,0.00012589569174839386
alpha89t-20,2.8544205839003858e-05
alpha89t-2,-0.00015074038882105734
alpha89t-19,-5.715768802456596e-05
alpha89t-18,8.123508856277303e-05
alpha89t-17,0.00013176070704066335
alpha89t-16,-4.8822001630162545e-05
alpha89t-15,-2.927380678888783e-05
alpha89t-14,6.044297663833619e-05
alpha89t-13,0.0001316434007214096
alpha89t-12,-2.0548282053336992e-05
alpha89t-11,-0.00012724639076099783
alpha89t-10,-3.785217620631217e-05
alpha89t-1,0.0001276548658535185
alpha89t,0.0001276548658535185
alpha87t-9,-1.1582740605663004e-05
alpha87t-8,-5.2613805987517225e-06
alpha87t-7,-2.409370291683801e-05
alpha87t-6,3.327320376575102e-05
alpha87t-5,2.295631040016754e-05
alpha87t-4,2.930480914518883e-05
alpha87t-3,5.784060070070606e-06
alpha87t-20,1.6284540285917102e-05
alpha87t-2,4.50953031118963e-05
alpha87t-19,-2.737582669370091e-05
alpha87t-18,-3.9940038483353616e-05
alpha87t-17,-6.246117945875024e-05
alpha87t-16,-9.116972085445791e-06
alpha87t-15,-6.378397555323309e-07
alpha87t-14,-7.758220547845899e-06
alpha87t-13,-2.2278132672306768e-05
alpha87t-12,2.124686770080859e-05
alpha87t-11,-7.64863449210381e-06
alpha87t-10,2.1516165812226514e-05
alpha87t-1,-2.8154416530575732e-06
alpha87t,-2.8154416530575732e-06
alpha86t-9,-6.193422254473625e-05
alpha86t-8,0.0001433560183728959
alpha86t-7,1.5911136144314552e-05
alpha86t-6,7.513870364743945e-05
alpha86t-5,0.00013912443475976234
alpha86t-4,-9.35059682137078e-05
alpha86t-3,-0.0001555950909912876
alpha86t-20,-0.00011418180821595668
alpha86t-2,-0.0001865332094981296
alpha86t-19,-9.288616698732424e-05
alpha86t-18,-1.6054345778823698e-07
alpha86t-17,-6.990398308826426e-05
alpha86t-16,-6.290042326619702e-05
alpha86t-15,-0.00010402072078494876
alpha86t-14,-2.3021291269057452e-05
alpha86t-13,-0.00015507031881743457
alpha86t-12,3.276491908006879e-05
alpha86t-11,7.3041341662436e-05
alpha86t-10,-0.0001855445223745866
alpha86t-1,5.333567055242221e-05
alpha86t,5.333567055242221e-05
alpha85t-9,0.00020576603329667463
alpha85t-8,-4.452212162289613e-06
alpha85t-7,-8.049891804177132e-05
alpha85t-6,8.729708180276217e-05
alpha85t-5,6.736160969311798e-06
alpha85t-4,-0.0001116213501462893
alpha85t-3,0.0001757704199471278
alpha85t-20,-8.342675404390625e-05
alpha85t-2,-4.985869530001907e-05
alpha85t-19,0.00011007135978746482
alpha85t-18,-8.771953725881382e-05
alpha85t-17,-6.812720262987902e-06
alpha85t-16,-0.00011850099383852516
alpha85t-15,1.9315182207281385e-05
alpha85t-14,-4.481726189506687e-05
alpha85t-13,-5.548744192373828e-05
alpha85t-12,5.990186766102219e-06
alpha85t-11,-0.00016115284655712737
alpha85t-10,7.53576271735387e-05
alpha85t-1,0.00013564624700472912
alpha85t,0.00013564624700472912
alpha84t-9,-0.00029405629808818744
alpha84t-8,-0.0003839722558953223
alpha84t-7,8.986254957941463e-05
alpha84t-6,5.032423266762174e-05
alpha84t-5,0.00028151486265863904
alpha84t-4,-6.795952663885498e-05
alpha84t-3,0.00031474995657848175
alpha84t-20,0.00015275505449583707
alpha84t-2,0.00012174359960288655
alpha84t-19,-9.900256487847906e-05
alpha84t-18,7.57535342073599e-05
alpha84t-17,-7.602592568672082e-05
alpha84t-16,8.923606845769527e-05
alpha84t-15,0.00016642583076801644
alpha84t-14,1.2888223889094726e-07
alpha84t-13,-0.0001836512431637222
alpha84t-12,0.00021071856285769425
alpha84t-11,-0.0001479077606691836
alpha84t-10,7.55414674366678e-05
alpha84t-1,4.9246671061432485e-05
alpha84t,4.9246671061432485e-05
alpha83t-9,3.2628229950713906e-05
alpha83t-8,-1.5875017850419893e-05
alpha83t-7,-0.00011722408948372195
alpha83t-6,-6.155160619547283e-06
alpha83t-5,0.00013272204202267263
alpha83t-4,-0.0001032288412781252
alpha83t-3,-9.541252232188704e-06
alpha83t-20,0.0002416810965812548
alpha83t-2,2.595982056553971e-05
alpha83t-19,-8.758503581051416e-05
alpha83t-18,2.2778158361028817e-05
alpha83t-17,0.00012876583701215574
alpha83t-16,5.826879340409713e-06
alpha83t-15,-0.00024195501957339252
alpha83t-14,0.00017154652375327606
alpha83t-13,5.4822383279465245e-05
alpha83t-12,-0.00010824351835227934
alpha83t-11,5.212847506889473e-07
alpha83t-10,0.0001529812452144061
alpha83t-1,8.60785187295207e-05
alpha83t,8.60785187295207e-05
alpha82t-9,7.202394388637189e-06
alpha82t-8,-9.111932736671476e-05
alpha82t-7,-0.00011759857693819094
alpha82t-6,2.965713998065927e-05
alpha82t-5,-4.7080606138848494e-05
alpha82t-4,-9.59796659086549e-05
alpha82t-3,-9.739611021262402e-05
alpha82t-20,0.000295198141991372
alpha82t-2,-0.00016695521489980253
alpha82t-19,5.2171619041076936e-05
alpha82t-18,-0.0003537567425210435
alpha82t-17,0.00029984356047032607
alpha82t-16,-0.00011020873439364457
alpha82t-15,0.0004027017119398323
alpha82t-14,-0.0002393333263398579
alpha82t-13,-0.0002274038378260019
alpha82t-12,0.00015643317833779048
alpha82t-11,-6.129588452119593e-05
alpha82t-10,0.00012781848097733655
alpha82t-1,3.432925701268044e-05
alpha82t,3.432925701268044e-05
alpha81t-9,-7.852358392323799e-05
alpha81t-8,-7.791064814563955e-05
alpha81t-7,-3.052174996680792e-05
alpha81t-6,0.00010590474865115142
alpha81t-5,-3.0433621653897154e-05
alpha81t-4,-7.265069162724826e-05
alpha81t-3,3.903339234337036e-05
alpha81t-20,-7.577954249302291e-05
alpha81t-2,-3.366567426958064e-05
alpha81t-19,2.6921206710150036e-05
alpha81t-18,6.412057409254629e-05
alpha81t-17,3.917623759951605e-05
alpha81t-16,1.7619504739191817e-05
alpha81t-15,5.562836867756031e-05
alpha81t-14,-6.185851512833389e-05
alpha81t-13,4.204000956583442e-05
alpha81t-12,-0.00020625727058654343
alpha81t-11,-2.7488082192101302e-05
alpha81t-10,1.838306074166461e-05
alpha81t-1,1.4878482883277254e-05
alpha81t,1.4878482883277254e-05
alpha80t-9,-0.00012564270480910298
alpha80t-8,0.0002107852861423087
alpha80t-7,-0.00015116774323945564
alpha80t-6,-8.845821896276224e-05
alpha80t-5,-7.936998722289129e-05
alpha80t-4,4.4038664040211856e-05
alpha80t-3,-1.601496239154635e-05
alpha80t-20,9.320689369732245e-05
alpha80t-2,0.00021956127772402702
alpha80t-19,5.9084763318142356e-05
alpha80t-18,0.00012200363426545657
alpha80t-17,3.755403683306961e-05
alpha80t-16,-5.4822245254140345e-06
alpha80t-15,8.620927774426483e-05
alpha80t-14,-9.643342169884407e-05
alpha80t-13,-3.2089372536034814e-05
alpha80t-12,-0.00010302441465200258
alpha80t-11,-3.784717654294295e-05
alpha80t-10,5.9643636578032994e-05
alpha80t-1,7.76680868716501e-05
alpha80t,7.76680868716501e-05
alpha79t-9,6.473218849064824e-05
alpha79t-8,-3.2184020300229693e-06
alpha79t-7,-4.8261145171401705e-05
alpha79t-6,0.00012628053482956523
alpha79t-5,3.0520414067903255e-05
alpha79t-4,3.987549941667809e-05
alpha79t-3,-3.844545085180713e-05
alpha79t-20,-1.9250873643383508e-05
alpha79t-2,-0.0003072378872706399
alpha79t-19,0.0001227335934384959
alpha79t-18,3.842079246487118e-05
alpha79t-17,-6.278371662863714e-05
alpha79t-16,-8.649707418668712e-05
alpha79t-15,-2.87982900438791e-05
alpha79t-14,5.489035623469481e-05
alpha79t-13,1.550829659040511e-05
alpha79t-12,-2.073820417019726e-05
alpha79t-11,3.9429623567977254e-05
alpha79t-10,-0.00012104795193218089
alpha79t-1,0.0003028020771382955
alpha79t,0.0003028020771382955
alpha78t-9,0.00021011459934093204
alpha78t-8,0.0001476189990324151
alpha78t-7,-2.8026028144480045e-05
alpha78t-6,-2.7118255846463217e-05
alpha78t-5,-0.00018995432465839196
alpha78t-4,6.446788716880003e-05
alpha78t-3,7.469287591860816e-05
alpha78t-20,0.00017925022162562147
alpha78t-2,-0.0004650138949652313
alpha78t-19,6.290290148135545e-05
alpha78t-18,-0.00010604839305366603
alpha78t-17,8.16195578399524e-05
alpha78t-16,-9.382805192051342e-05
alpha78t-15,4.0995916809602895e-05
alpha78t-14,0.00013708476973390806
alpha78t-13,7.317357526583114e-05
alpha78t-12,-7.290324817307432e-05
alpha78t-11,6.5985561264411425e-06
alpha78t-10,-5.651350835194789e-05
alpha78t-1,0.00012769067148125896
alpha78t,0.00012769067148125896
alpha76t-9,0.00015632358889183134
alpha76t-8,0.00013298590364560763
alpha76t-7,-0.00020403857365372023
alpha76t-6,-9.482296052966775e-05
alpha76t-5,0.0001785821001537663
alpha76t-4,-0.00011932759150070633
alpha76t-3,0.0001556000863107914
alpha76t-20,-5.074992180430731e-05
alpha76t-2,-8.236710783540453e-05
alpha76t-19,7.843300086656055e-05
alpha76t-18,0.00019423655184743746
alpha76t-17,-7.002628567866171e-06
alpha76t-16,-7.709180632836177e-05
alpha76t-15,-0.00018185447274240627
alpha76t-14,6.105383386659598e-05
alpha76t-13,-4.090579268546511e-05
alpha76t-12,-2.9043140841791544e-05
alpha76t-11,8.25570078109159e-05
alpha76t-10,-7.922212147635994e-05
alpha76t-1,8.559307750882636e-06
alpha76t,8.559307750882636e-06
alpha72t-9,1.584245389049931e-05
alpha72t-8,-6.121255464659807e-05
alpha72t-7,-2.5229403136453512e-05
alpha72t-6,0.00013884179076558513
alpha72t-5,-1.0975099881356494e-05
alpha72t-4,-3.0504223003178713e-05
alpha72t-3,-0.00020146637184686127
alpha72t-20,7.762592329386804e-05
alpha72t-2,-1.0928550519641593e-05
alpha72t-19,0.00015002062265283367
alpha72t-18,-0.0003518636697057737
alpha72t-17,0.0003350262555093564
alpha72t-16,-0.00013866965444783952
alpha72t-15,0.00034093301823946145
alpha72t-14,-0.00013466317580898242
alpha72t-13,-0.00015679286888701822
alpha72t-12,0.00014963665371913514
alpha72t-11,4.7959968608941406e-05
alpha72t-10,-3.4623843087607875e-05
