,features_importance
volume,0.0006936579041816781
turn,5.488040670972148e-05
pre_close,7.037076589336543e-07
open,0.00016349447098363851
low,7.610809406213998e-05
high,2.515915274340652e-06
avg_price,3.1344763307532405e-05
amount,0.00011720383072121366
alpha9t-9,2.929264579831257e-06
alpha9t-8,0.0
alpha9t-7,5.8499667866627155e-06
alpha9t-6,7.418763513885904e-05
alpha9t-5,6.607164651665852e-06
alpha9t-4,7.230920399488751e-05
alpha9t-3,8.748326405832191e-07
alpha9t-20,6.42836519639957e-05
alpha9t-2,2.834441203749321e-06
alpha9t-19,5.2247582106241535e-05
alpha9t-18,0.0
alpha9t-17,3.8774674647375574e-05
alpha9t-16,0.00024370136273112829
alpha9t-15,2.5180946624231395e-06
alpha9t-14,5.881597874410055e-05
alpha9t-13,8.816853366957077e-06
alpha9t-12,2.7889475937529144e-05
alpha9t-11,0.0
alpha9t-10,1.4864770499721024e-06
alpha9t-1,0.0
alpha9t,3.182570778091414e-05
alpha98t-9,3.3442002954280256e-05
alpha98t-8,3.6195761166998925e-05
alpha98t-7,1.9635435544452383e-05
alpha98t-6,6.034044814547491e-06
alpha98t-5,3.8135011873108892e-06
alpha98t-4,8.708121225387429e-06
alpha98t-3,9.737835929829523e-05
alpha98t-20,5.318994821926286e-07
alpha98t-2,3.365281021973023e-05
alpha98t-19,9.655894574614945e-08
alpha98t-18,7.481936005876716e-07
alpha98t-17,1.8350571687821177e-06
alpha98t-16,2.767646817139227e-06
alpha98t-15,1.3674583162660429e-05
alpha98t-14,1.4621960446136953e-06
alpha98t-13,1.8066910510759859e-06
alpha98t-12,2.0920440192510607e-06
alpha98t-11,2.1530820665623885e-07
alpha98t-10,1.9774896994047935e-05
alpha98t-1,2.142681232506779e-05
alpha98t,0.0009774099730841905
alpha97t-9,6.134105178370597e-06
alpha97t-8,6.065332607300705e-06
alpha97t-7,3.664679091096165e-06
alpha97t-6,4.779779022423363e-05
alpha97t-5,0.0
alpha97t-4,3.1986385737852565e-06
alpha97t-3,4.9715074874398186e-05
alpha97t-20,0.0
alpha97t-2,2.824228512979183e-05
alpha97t-19,2.9102341267512554e-05
alpha97t-18,1.6240091435620587e-06
alpha97t-17,8.307696511798088e-05
alpha97t-16,1.43514928299197e-07
alpha97t-15,3.361370919136663e-07
alpha97t-14,0.00013776115396802415
alpha97t-13,8.01016784853429e-07
alpha97t-12,8.022072469678057e-07
alpha97t-11,1.1721425402576148e-05
alpha97t-10,0.0
alpha97t-1,1.5331480872478755e-06
alpha97t,0.0001258733063082008
alpha96t-9,4.251373259683975e-06
alpha96t-8,0.0
alpha96t-7,7.702174896136309e-07
alpha96t-6,7.875993867187966e-07
alpha96t-5,6.163044956203551e-07
alpha96t-4,7.341673703603927e-06
alpha96t-3,1.1979758876923028e-06
alpha96t-20,1.8369449443727625e-07
alpha96t-2,1.355982710960941e-06
alpha96t-19,9.382831932426721e-07
alpha96t-18,3.1448940912113633e-07
alpha96t-17,7.574053890865787e-08
alpha96t-16,2.9568095959560397e-06
alpha96t-15,1.6781470869813106e-07
alpha96t-14,8.999739799280345e-06
alpha96t-13,1.688074067262573e-06
