,features_importance
volume,0.00013595952941847667
turn,9.318305075905835e-05
pre_close,0.0
open,0.0
low,0.0
high,0.0
avg_price,0.0
amount,0.0
alpha9t-9,0.0
alpha9t-8,0.0
alpha9t-7,0.0
alpha9t-6,0.0
alpha9t-5,0.0
alpha9t-4,0.0
alpha9t-3,0.0
alpha9t-20,0.0
alpha9t-2,0.0
alpha9t-19,0.0
alpha9t-18,0.0
alpha9t-17,0.0
alpha9t-16,0.0
alpha9t-15,0.0
alpha9t-14,0.0
alpha9t-13,0.0
alpha9t-12,0.0
alpha9t-11,0.0
alpha9t-10,0.0
alpha9t-1,0.0
alpha9t,0.0
alpha98t-9,1.5145661950646904e-05
alpha98t-8,0.0002873446376800329
alpha98t-7,0.00010784174521938292
alpha98t-6,0.0002447871757055545
alpha98t-5,0.0002476960013747406
alpha98t-4,4.4659140449878704e-05
alpha98t-3,0.0004925958458094889
alpha98t-20,0.0
alpha98t-2,4.2796008948981674e-05
alpha98t-19,0.0
alpha98t-18,0.0
alpha98t-17,1.172503405158153e-06
alpha98t-16,0.0
alpha98t-15,0.0
alpha98t-14,0.0
alpha98t-13,0.0
alpha98t-12,1.2502717321232556e-06
alpha98t-11,0.0
alpha98t-10,8.512976980192925e-05
alpha98t-1,0.0003048134899590288
alpha98t,0.0
alpha97t-9,0.0
alpha97t-8,0.0
alpha97t-7,0.0
alpha97t-6,0.0
alpha97t-5,0.0
alpha97t-4,0.0
alpha97t-3,0.0
alpha97t-20,0.0
alpha97t-2,0.0
alpha97t-19,0.0
alpha97t-18,0.0
alpha97t-17,0.0
alpha97t-16,0.0
alpha97t-15,0.0
alpha97t-14,0.0
alpha97t-13,0.0
alpha97t-12,4.196180813625109e-05
alpha97t-11,0.0
alpha97t-10,0.0
alpha97t-1,1.1639656602707296e-05
alpha97t,0.0
alpha96t-9,1.0792529394017124e-06
alpha96t-8,0.0
alpha96t-7,0.0
alpha96t-6,0.0
alpha96t-5,0.0
alpha96t-4,0.0
alpha96t-3,0.0
alpha96t-20,0.0
alpha96t-2,0.0
alpha96t-19,0.0
alpha96t-18,0.0
alpha96t-17,0.0
alpha96t-16,1.7099592436497263e-05
