,features_importance
volume,0.000875342053388885
turn,4.499921570694261e-05
pre_close,2.0844078761387626e-05
open,0.0
low,5.361628162286432e-06
high,7.254144347240108e-05
avg_price,0.00011803680309376352
amount,0.0001131275592086243
alpha9t-9,0.0
alpha9t-8,0.0
alpha9t-7,0.0
alpha9t-6,1.2992920278017263e-07
alpha9t-5,0.0001145188829908581
alpha9t-4,4.288884576462239e-07
alpha9t-3,6.488502253797969e-06
alpha9t-20,1.1674863742727164e-06
alpha9t-2,1.556695706102898e-05
alpha9t-19,4.6369528641965464e-07
alpha9t-18,0.0
alpha9t-17,7.115203160497833e-08
alpha9t-16,1.3364116093677191e-06
alpha9t-15,1.2321428984245986e-06
alpha9t-14,0.0
alpha9t-13,2.3186067408909114e-06
alpha9t-12,0.0
alpha9t-11,0.0
alpha9t-10,1.0380090931145514e-06
alpha9t-1,3.089987150525827e-07
alpha9t,0.0
alpha98t-9,2.8889174366903167e-06
alpha98t-8,0.0
alpha98t-7,2.168379985921933e-06
alpha98t-6,0.0
alpha98t-5,1.3562440605237633e-05
alpha98t-4,0.0
alpha98t-3,7.538473069223354e-07
alpha98t-20,0.0
alpha98t-2,8.831548281531128e-07
alpha98t-19,0.0
alpha98t-18,3.6822362228419745e-05
alpha98t-17,0.0
alpha98t-16,8.357847865252817e-06
alpha98t-15,7.039697096273348e-07
alpha98t-14,4.234878807919754e-06
alpha98t-13,1.9856297254054398e-06
alpha98t-12,3.5295005880253795e-06
alpha98t-11,1.803035685685928e-05
alpha98t-10,0.0
alpha98t-1,0.00022296001340385468
alpha98t,8.38276935755027e-07
alpha97t-9,0.0
alpha97t-8,6.514024529451438e-07
alpha97t-7,4.006977747805252e-06
alpha97t-6,1.2362862480814964e-05
alpha97t-5,0.0
alpha97t-4,1.0992383230375365e-06
alpha97t-3,4.376958966476645e-05
alpha97t-20,0.0
alpha97t-2,3.601483581411073e-06
alpha97t-19,3.684233772385365e-07
alpha97t-18,0.0
alpha97t-17,0.0
alpha97t-16,2.839935730601422e-05
alpha97t-15,0.0
alpha97t-14,0.0
alpha97t-13,2.1795843680470027e-05
alpha97t-12,2.516761679833105e-07
alpha97t-11,0.0
alpha97t-10,0.0
alpha97t-1,0.0
alpha97t,0.0
alpha96t-9,0.0
alpha96t-8,3.57818459799783e-05
alpha96t-7,0.0
alpha96t-6,0.0
alpha96t-5,0.0
alpha96t-4,0.0
alpha96t-3,0.0
alpha96t-20,0.0
alpha96t-2,6.127414560144662e-06
alpha96t-19,0.0
alpha96t-18,0.0
alpha96t-17,2.9768185740316535e-06
alpha96t-16,8.559588022141764e-07
alpha96t-15,2.604237360738192e-05
alpha96t-14,8.509159973778988e-07
alpha96t-13,3.276234641842048e-06
alpha96t-12,3.6132048721502464e-07
alpha96t-11,3.1459487575126023e-06
alpha96t-10,3.7269349958835186e-07
alpha96t-1,6.871174000205507e-07
alpha96t,4.592558609784109e-06
alpha95t-9,9.958814838879342e-07
alpha95t-8,0.0
alpha95t-7,1.0310441208929929e-05
alpha95t-6,9.388287245142659e-06
alpha95t-5,0.0
alpha95t-4,6.1283484045646e-06
alpha95t-3,3.380628054418496e-06
alpha95t-20,0.00011835423206537497
alpha95t-2,0.0
alpha95t-19,0.0002850259433043319
alpha95t-18,0.0
alpha95t-17,0.0
alpha95t-16,1.0929383722885e-06
alpha95t-15,0.00012703392481122443
alpha95t-14,4.702519343832239e-08
alpha95t-13,4.943391034618458e-06
alpha95t-12,0.0
alpha95t-11,4.161435405321299e-05
alpha95t-10,8.397375809092593e-07
alpha95t-1,1.4252881479592437e-05
alpha95t,0.0
alpha94t-9,3.5665015639217863e-07
alpha94t-8,0.0
alpha94t-7,0.0
alpha94t-6,0.0
alpha94t-5,8.445462547393695e-06
alpha94t-4,0.0
alpha94t-3,4.029654341987927e-05
alpha94t-20,9.864133774221075e-06
alpha94t-2,1.874348858869927e-06
alpha94t-19,3.490039078691163e-07
alpha94t-18,0.0
alpha94t-17,0.0
alpha94t-16,8.856008632085492e-08
alpha94t-15,2.0813396643071712e-05
alpha94t-14,1.7734236108451868e-06
alpha94t-13,1.7512864719797501e-06
alpha94t-12,7.277762329936817e-07
alpha94t-11,1.7078646739598547e-07
alpha94t-10,4.88477205949799e-07
alpha94t-1,3.5136810716569363e-06
alpha94t,8.10168442859495e-07
alpha93t-9,1.0847038915639842e-06
alpha93t-8,6.886035287381471e-06
alpha93t-7,1.6075163166175944e-07
alpha93t-6,0.0
alpha93t-5,8.722942523605814e-06
alpha93t-4,2.563525846354569e-07
alpha93t-3,0.0
alpha93t-20,2.9387994481169996e-07
alpha93t-2,3.082956259098147e-06
alpha93t-19,4.507376700315678e-06
alpha93t-18,0.0
alpha93t-17,1.433198581394019e-06
alpha93t-16,0.0
alpha93t-15,5.919796930892773e-07
alpha93t-14,2.2490905748089288e-07
alpha93t-13,0.0006810834455702749
alpha93t-12,0.00017440542316271646
alpha93t-11,0.0
alpha93t-10,0.0
alpha93t-1,2.6780916000906424e-07
alpha93t,3.091831048117953e-05
alpha89t-9,1.1509101170609782e-05
alpha89t-8,1.4278308383919348e-06
alpha89t-7,0.00019080871220470956
alpha89t-6,1.9926201147172172e-07
alpha89t-5,0.0
alpha89t-4,0.0
alpha89t-3,1.206339567331311e-07
alpha89t-20,0.0001293232189443853
alpha89t-2,1.200710335923263e-05
alpha89t-19,6.109872908510422e-07
alpha89t-18,3.6461159048162516e-06
alpha89t-17,0.0
alpha89t-16,0.0
alpha89t-15,1.174219448029382e-07
alpha89t-14,5.28972001379238e-07
alpha89t-13,0.0
alpha89t-12,5.615027653650764e-08
alpha89t-11,2.386200811356946e-07
alpha89t-10,1.9565927165214376e-06
alpha89t-1,0.0
alpha89t,0.0
alpha87t-9,2.229570085257138e-05
alpha87t-8,8.051531264141298e-06
alpha87t-7,5.6488297151601406e-05
alpha87t-6,5.741892557877761e-06
alpha87t-5,1.8454636176629263e-05
alpha87t-4,3.444628026530874e-06
alpha87t-3,4.344420551230386e-06
alpha87t-20,2.3305715502606648e-06
alpha87t-2,5.428318669650456e-05
alpha87t-19,9.450722789264712e-06
alpha87t-18,1.6573439027527872e-05
alpha87t-17,4.247758023379572e-06
alpha87t-16,3.3212344255502422e-06
alpha87t-15,0.0
alpha87t-14,5.538326862860481e-06
alpha87t-13,2.8928043215038465e-06
alpha87t-12,6.036439990696088e-06
alpha87t-11,6.846618779145788e-06
alpha87t-10,5.832770379393369e-07
alpha87t-1,2.6632570328197204e-05
alpha87t,3.860849347104752e-05
alpha86t-9,0.0
alpha86t-8,0.0
alpha86t-7,0.0
alpha86t-6,0.0
alpha86t-5,0.0
alpha86t-4,3.846024076789852e-06
alpha86t-3,0.0
alpha86t-20,0.0
alpha86t-2,0.0
alpha86t-19,0.0
alpha86t-18,1.631622456287956e-06
alpha86t-17,0.0
alpha86t-16,1.455513772135237e-05
alpha86t-15,2.1388157179760724e-07
alpha86t-14,0.0
alpha86t-13,0.0
alpha86t-12,0.0
alpha86t-11,0.0
alpha86t-10,0.0
alpha86t-1,0.0
alpha86t,8.043496702960341e-08
alpha85t-9,1.4465321139578539e-05
alpha85t-8,7.806873234937836e-06
alpha85t-7,1.1152325634172493e-06
alpha85t-6,5.349371318742075e-06
alpha85t-5,0.0
alpha85t-4,5.406879744716527e-06
alpha85t-3,2.5377482004406185e-07
alpha85t-20,3.0549197500565266e-07
alpha85t-2,3.012678663773349e-07
alpha85t-19,0.0
alpha85t-18,5.3462686236381345e-06
alpha85t-17,2.090706142460398e-07
alpha85t-16,8.770040353202227e-05
alpha85t-15,4.5041476185920866e-06
alpha85t-14,1.0585023613562096e-05
alpha85t-13,0.0
alpha85t-12,3.2364525010860135e-06
alpha85t-11,1.048511540162159e-05
alpha85t-10,4.062862032180189e-05
alpha85t-1,0.0
alpha85t,1.3848093618801441e-06
alpha84t-9,0.0
alpha84t-8,1.0229661620253297e-05
alpha84t-7,2.772186050835157e-05
alpha84t-6,0.0
alpha84t-5,4.386009836866077e-06
alpha84t-4,0.0
alpha84t-3,4.290923335556524e-06
alpha84t-20,2.8916366241433964e-07
alpha84t-2,2.665386794512655e-07
alpha84t-19,0.0
alpha84t-18,7.669486873170323e-07
alpha84t-17,1.1991219364134339e-06
alpha84t-16,3.0002730076466633e-05
alpha84t-15,8.107374025929761e-07
alpha84t-14,2.1990559208866e-05
alpha84t-13,9.39140247090892e-07
alpha84t-12,2.4522153447027898e-06
alpha84t-11,1.3790647757531987e-06
alpha84t-10,8.891621779648202e-07
alpha84t-1,0.0
alpha84t,1.5055936349106375e-06
alpha83t-9,1.3254063588827397e-06
alpha83t-8,0.0
alpha83t-7,4.265429321546384e-06
alpha83t-6,2.590625188153535e-07
alpha83t-5,2.7137401269887558e-05
alpha83t-4,3.182452623531545e-05
alpha83t-3,8.17552540454006e-06
alpha83t-20,0.0
alpha83t-2,6.159296144883354e-06
alpha83t-19,1.205150989150391e-06
alpha83t-18,1.3941036531444188e-05
alpha83t-17,5.6571888928304995e-06
alpha83t-16,6.855490479486322e-07
alpha83t-15,0.001004185772175251
alpha83t-14,7.27880500191175e-07
alpha83t-13,2.2386532754431078e-07
alpha83t-12,6.89647502338087e-06
alpha83t-11,0.0
alpha83t-10,5.92457570640437e-07
alpha83t-1,0.0
alpha83t,0.0001409008546206748
alpha82t-9,0.0
alpha82t-8,2.4717668226563043e-07
alpha82t-7,1.6053406233219136e-06
alpha82t-6,0.0
alpha82t-5,1.7579831103625366e-05
alpha82t-4,1.6329113314025416e-06
alpha82t-3,3.2871311261764475e-05
alpha82t-20,1.2277284728629196e-05
alpha82t-2,4.335795296348418e-05
alpha82t-19,6.569862590098412e-07
alpha82t-18,5.306460925326e-06
alpha82t-17,0.0
alpha82t-16,3.4460738570343818e-06
alpha82t-15,0.0
alpha82t-14,0.0
alpha82t-13,3.460394891985223e-05
alpha82t-12,0.0
alpha82t-11,1.2639163535761631e-07
alpha82t-10,0.0
alpha82t-1,4.944552244103456e-06
alpha82t,1.8948110225135682e-05
alpha81t-9,6.395214121031911e-05
alpha81t-8,0.0
alpha81t-7,9.752503899198669e-06
alpha81t-6,7.478319112745966e-07
alpha81t-5,7.307617445260679e-06
alpha81t-4,5.054397374289307e-06
alpha81t-3,5.387835739189234e-07
alpha81t-20,0.0
alpha81t-2,5.269675179376993e-07
alpha81t-19,0.0
alpha81t-18,1.2529737388982123e-06
alpha81t-17,3.9975276039406505e-05
alpha81t-16,0.0
alpha81t-15,1.2403979606987698e-06
alpha81t-14,0.0
alpha81t-13,1.0943956801006053e-05
alpha81t-12,2.5194615869947535e-05
alpha81t-11,6.7856968153231025e-06
alpha81t-10,4.3074151152404534e-07
alpha81t-1,3.1908488690501796e-05
alpha81t,3.3390299339256836e-05
alpha80t-9,1.9892337118948776e-05
alpha80t-8,2.5807568050716187e-07
alpha80t-7,2.2736412791124534e-06
alpha80t-6,1.0029470113091493e-05
alpha80t-5,9.383314760467566e-06
alpha80t-4,6.163611366099906e-06
alpha80t-3,6.274402903940515e-06
alpha80t-20,8.182601634194127e-07
alpha80t-2,3.5639323910335554e-06
alpha80t-19,1.6449746318511058e-05
alpha80t-18,0.0
alpha80t-17,6.332172834208097e-06
alpha80t-16,1.4401924319033412e-05
alpha80t-15,4.689696749275616e-06
alpha80t-14,3.3341918986438033e-06
alpha80t-13,0.0
alpha80t-12,3.7026589944795226e-06
alpha80t-11,0.0
alpha80t-10,2.33078452529753e-07
alpha80t-1,0.0
alpha80t,0.0
alpha79t-9,0.0
alpha79t-8,5.246919510865108e-07
alpha79t-7,2.773775060559996e-07
alpha79t-6,3.723697791849757e-07
alpha79t-5,0.0
alpha79t-4,0.0
alpha79t-3,0.0
alpha79t-20,1.7074170667171602e-06
alpha79t-2,8.113407705878966e-06
alpha79t-19,1.5251894602893724e-06
alpha79t-18,5.330656887247987e-07
alpha79t-17,3.767337396055292e-05
alpha79t-16,0.0
alpha79t-15,0.0
alpha79t-14,0.0
alpha79t-13,0.0
alpha79t-12,1.151387969697048e-06
alpha79t-11,2.9173708823470364e-06
alpha79t-10,1.6451865812151333e-06
alpha79t-1,4.0006096415562415e-07
alpha79t,3.4046930043828887e-07
alpha78t-9,3.4053403316951702e-06
alpha78t-8,4.180011004821368e-07
alpha78t-7,9.018677266670148e-07
alpha78t-6,0.0
alpha78t-5,2.77022946412139e-07
alpha78t-4,1.5611812657206263e-07
alpha78t-3,3.643005171543855e-07
alpha78t-20,0.00012334049719903015
alpha78t-2,1.7821120241066023e-07
alpha78t-19,1.2485605561914185e-06
alpha78t-18,1.2004178630560063e-06
alpha78t-17,0.0
alpha78t-16,2.5386226927622586e-07
alpha78t-15,4.7389719326350926e-07
alpha78t-14,1.69790944304137e-07
alpha78t-13,0.0
alpha78t-12,7.503101087927185e-07
alpha78t-11,2.617165613821888e-06
alpha78t-10,0.0
alpha78t-1,8.207623251481648e-07
alpha78t,4.717040764654842e-07
alpha76t-9,1.1390207750906165e-06
alpha76t-8,1.7354425376096011e-06
alpha76t-7,2.327178560432936e-06
alpha76t-6,7.657272436661388e-05
alpha76t-5,0.00011143978958496924
alpha76t-4,1.4974335492421851e-07
alpha76t-3,0.0
alpha76t-20,0.0
alpha76t-2,8.327425820131644e-06
alpha76t-19,0.0
alpha76t-18,2.678582885766414e-06
alpha76t-17,1.0161963545063354e-05
alpha76t-16,5.660445971940357e-06
alpha76t-15,7.443837446938743e-07
alpha76t-14,0.0
alpha76t-13,1.641061222476386e-06
alpha76t-12,2.3175330611936091e-07
alpha76t-11,7.626537376685309e-07
alpha76t-10,1.5244260298981677e-06
alpha76t-1,4.3415644702413884e-07
alpha76t,6.58137619377643e-07
alpha72t-9,3.314462133564323e-07
alpha72t-8,0.0
alpha72t-7,0.0
alpha72t-6,0.0
alpha72t-5,0.0
alpha72t-4,3.1360403980416045e-06
alpha72t-3,0.0
alpha72t-20,0.0
alpha72t-2,0.0
alpha72t-19,3.1282577980556493e-07
alpha72t-18,1.8407294807139406e-05
alpha72t-17,0.0
alpha72t-16,8.703418569229518e-07
alpha72t-15,6.635875279791492e-07
alpha72t-14,2.616021199216143e-05
alpha72t-13,2.450096415880534e-07
alpha72t-12,2.6964333770011107e-07
alpha72t-11,0.0
alpha72t-10,0.0
alpha72t-1,4.447385534760777e-07
alpha72t,0.0
alpha71t-9,0.0
alpha71t-8,8.375750582503803e-05
alpha71t-7,0.0
alpha71t-6,7.977728943684441e-07
alpha71t-5,2.3191700408112922e-05
alpha71t-4,4.0594519620458413e-07
alpha71t-3,1.9685332730731316e-05
alpha71t-20,0.0
alpha71t-2,0.0
alpha71t-19,3.0658474091503575e-06
alpha71t-18,8.09625589375874e-05
alpha71t-17,0.0
alpha71t-16,4.458015811366067e-06
alpha71t-15,1.3360815068623056e-06
alpha71t-14,0.0
alpha71t-13,1.0787633525591383e-06
alpha71t-12,0.0
alpha71t-11,1.480092689232114e-07
alpha71t-10,0.0
alpha71t-1,0.0
alpha71t,0.0
alpha70t-9,0.0
alpha70t-8,6.32243111246429e-05
alpha70t-7,0.0
alpha70t-6,1.761407803660522e-07
alpha70t-5,8.418045515025488e-06
alpha70t-4,0.0
alpha70t-3,4.23800589441506e-06
alpha70t-20,6.445803087177643e-07
alpha70t-2,1.1932621462233567e-07
alpha70t-19,1.2734738962578742e-06
alpha70t-18,0.0
alpha70t-17,2.6627814883317217e-05
alpha70t-16,2.450853202273048e-06
alpha70t-15,5.253237531175982e-07
alpha70t-14,0.0
alpha70t-13,5.328492697074594e-08
alpha70t-12,2.7361442293588708e-05
alpha70t-11,0.0
alpha70t-10,5.616694481594723e-06
alpha70t-1,1.9231990573770164e-06
alpha70t,1.4113538772182228e-05
alpha68t-9,1.7383069246072627e-07
alpha68t-8,0.0
alpha68t-7,3.0432975003229745e-06
alpha68t-6,0.0
alpha68t-5,0.0
alpha68t-4,2.338216440383852e-07
alpha68t-3,0.0
alpha68t-20,0.0
alpha68t-2,3.806644523474964e-06
alpha68t-19,1.779222204600831e-07
alpha68t-18,2.9677596486653616e-07
alpha68t-17,2.53387791263598e-07
alpha68t-16,1.0754382014851156e-06
alpha68t-15,4.593688400754851e-06
alpha68t-14,0.0
alpha68t-13,4.4404332657013914e-07
alpha68t-12,1.1830723578224898e-05
alpha68t-11,5.823773114061253e-07
alpha68t-10,4.093360012985527e-07
alpha68t-1,0.0
alpha68t,9.149842044964219e-06
alpha67t-9,3.4128158881117025e-07
alpha67t-8,1.4364850477881292e-06
alpha67t-7,0.0
alpha67t-6,7.688617296197602e-06
alpha67t-5,0.0
alpha67t-4,2.544439132799516e-06
alpha67t-3,7.333209418133484e-06
alpha67t-20,7.0431522676572615e-06
alpha67t-2,0.0
alpha67t-19,1.045693697746908e-06
alpha67t-18,0.0
alpha67t-17,3.38869327323726e-06
alpha67t-16,9.84578076196776e-07
alpha67t-15,6.492385533172722e-07
alpha67t-14,0.0
alpha67t-13,0.0
alpha67t-12,2.4534060488080557e-05
alpha67t-11,0.0
alpha67t-10,0.0
alpha67t-1,1.575819211183908e-05
alpha67t,2.135117456503187e-05
alpha66t-9,0.0
alpha66t-8,0.0
alpha66t-7,1.5545058653723826e-05
alpha66t-6,0.0
alpha66t-5,2.2351653039485697e-05
alpha66t-4,0.0
alpha66t-3,1.8772659152631246e-05
alpha66t-20,4.639358042925381e-05
alpha66t-2,2.265558532035576e-05
alpha66t-19,4.019452559010898e-06
alpha66t-18,0.0
alpha66t-17,1.2597485568535876e-06
alpha66t-16,1.2527349134125895e-05
alpha66t-15,0.0
alpha66t-14,1.8836417761849603e-07
alpha66t-13,0.0
alpha66t-12,2.890795475804188e-06
alpha66t-11,3.32597546466704e-07
alpha66t-10,3.4400320816424176e-06
alpha66t-1,1.5017094364385474e-07
alpha66t,9.44353069165244e-07
alpha65t-9,1.5463573313169566e-05
alpha65t-8,0.0
alpha65t-7,4.496615205079794e-06
alpha65t-6,0.0002870180065705031
alpha65t-5,0.0
alpha65t-4,2.123672863192151e-06
alpha65t-3,0.0012805906981503733
alpha65t-20,8.173014439805815e-07
alpha65t-2,4.1134360294824706e-05
alpha65t-19,0.0
alpha65t-18,0.0
alpha65t-17,2.8766189470432294e-07
