,features_importance
volume,0.001560503415082553
turn,0.0
pre_close,0.0
open,0.0
low,0.0
high,0.0
avg_price,0.0003730597061306303
amount,5.560304735352787e-05
alpha9t-9,0.0
alpha9t-8,0.0
alpha9t-7,0.0
alpha9t-6,0.0
alpha9t-5,0.0
alpha9t-4,0.0
alpha9t-3,0.0
alpha9t-20,0.0
alpha9t-2,0.0
alpha9t-19,0.0
alpha9t-18,0.0
alpha9t-17,0.0
alpha9t-16,0.0
alpha9t-15,4.160844591143367e-06
alpha9t-14,0.0
alpha9t-13,3.098097870708006e-05
alpha9t-12,0.0
alpha9t-11,0.0
alpha9t-10,0.0
alpha9t-1,0.0
alpha9t,0.0
alpha98t-9,0.0
alpha98t-8,0.0
alpha98t-7,0.00016339753472416942
alpha98t-6,0.0
alpha98t-5,0.0
alpha98t-4,0.0
alpha98t-3,0.0
alpha98t-20,0.0
alpha98t-2,0.0
alpha98t-19,3.1485280123436624e-06
alpha98t-18,0.0
alpha98t-17,0.0
alpha98t-16,0.0
alpha98t-15,0.0
alpha98t-14,0.0
alpha98t-13,0.0
alpha98t-12,0.0
alpha98t-11,3.640772492047517e-06
alpha98t-10,0.0
alpha98t-1,0.0
alpha98t,0.0
alpha97t-9,0.0
alpha97t-8,0.0
alpha97t-7,2.5737993551788552e-05
alpha97t-6,0.0
alpha97t-5,0.0
alpha97t-4,0.0
alpha97t-3,0.0
alpha97t-20,0.0
alpha97t-2,0.0
alpha97t-19,0.0
alpha97t-18,0.0
alpha97t-17,0.0
alpha97t-16,0.0
alpha97t-15,0.0
alpha97t-14,0.0
alpha97t-13,0.0
alpha97t-12,6.692112024536734e-06
alpha97t-11,0.0018577277938942927
alpha97t-10,0.0
alpha97t-1,0.0
alpha97t,0.0
alpha96t-9,0.0
alpha96t-8,0.0
alpha96t-7,3.3005691802233785e-06
alpha96t-6,0.0
alpha96t-5,0.0
alpha96t-4,0.0
alpha96t-3,0.0
alpha96t-20,0.0
alpha96t-2,0.0
alpha96t-19,0.0
alpha96t-18,0.0
alpha96t-17,0.0
alpha96t-16,0.0
alpha96t-15,0.0
alpha96t-14,0.0
alpha96t-13,0.0
alpha96t-12,0.0
alpha96t-11,0.0
alpha96t-10,0.0
alpha96t-1,0.0
alpha96t,0.0
alpha95t-9,0.0
alpha95t-8,0.0
alpha95t-7,0.0
alpha95t-6,0.0
alpha95t-5,0.0
alpha95t-4,0.0
alpha95t-3,0.0
alpha95t-20,1.3397914144944106e-06
alpha95t-2,0.0
alpha95t-19,0.0
alpha95t-18,0.0
alpha95t-17,5.703072969801167e-06
alpha95t-16,0.0
alpha95t-15,0.0
alpha95t-14,0.0
alpha95t-13,0.0
alpha95t-12,0.0
alpha95t-11,0.0
alpha95t-10,0.0
alpha95t-1,0.0
alpha95t,0.0
alpha94t-9,0.0
alpha94t-8,1.0931811745814807e-05
